date,actual,year,month
2010-11-01,21.361816,2010,11
2010-12-01,19.042328,2010,12
2011-01-01,12.464386,2011,1
2011-02-01,17.593536,2011,2
2011-03-01,17.052307,2011,3
2011-04-01,23.746735,2011,4
2011-05-01,26.832977,2011,5
2011-06-01,29.549316,2011,6
2011-07-01,29.568573,2011,7
2011-08-01,28.602661,2011,8
2011-09-01,27.256866,2011,9
2011-10-01,24.313385,2011,10
2011-11-01,23.38562,2011,11
2011-12-01,16.885895,2011,12
2012-01-01,14.570984,2012,1
2012-02-01,16.060242,2012,2
2012-03-01,20.546783,2012,3
2012-04-01,26.487366,2012,4
2012-05-01,28.624481,2012,5
2012-06-01,30.007843,2012,6
2012-07-01,29.582794,2012,7
2012-08-01,29.073456,2012,8
2012-09-01,27.196075,2012,9
2012-10-01,26.020142,2012,10
2012-11-01,23.076813,2012,11
2012-12-01,18.48819,2012,12
2013-01-01,15.460846,2013,1
2013-02-01,19.808197,2013,2
2013-03-01,23.573883,2013,3
2013-04-01,25.014313,2013,4
2013-05-01,28.756622,2013,5
2013-06-01,29.356354,2013,6
2013-07-01,28.550903,2013,7
2013-08-01,29.021057,2013,8
2013-09-01,26.781006,2013,9
2013-10-01,24.877228,2013,10
2013-11-01,22.08554,2013,11
2013-12-01,15.115326,2013,12
2014-01-01,16.646729,2014,1
2014-02-01,17.03012,2014,2
2014-03-01,20.106293,2014,3
2014-04-01,25.742035,2014,4
2014-05-01,29.239899,2014,5
2014-06-01,29.97229,2014,6
2014-07-01,29.246552,2014,7
2014-08-01,28.637054,2014,8
2014-09-01,28.55426,2014,9
2014-10-01,26.327179,2014,10
2014-11-01,22.675018,2014,11
2014-12-01,16.650787,2014,12
2015-01-01,17.544403,2015,1
2015-02-01,19.579132,2015,2
2015-03-01,21.87735,2015,3
2015-04-01,25.108002,2015,4
2015-05-01,30.401703,2015,5
2015-06-01,30.867401,2015,6
2015-07-01,29.694733,2015,7
2015-08-01,29.50589,2015,8
2015-09-01,28.286346,2015,9
2015-10-01,26.37445,2015,10
2015-11-01,24.163605,2015,11
2015-12-01,18.225494,2015,12
2016-01-01,16.926605,2016,1
2016-02-01,16.175537,2016,2
2016-03-01,20.305542,2016,3
2016-04-01,25.858124,2016,4
2016-05-01,28.567596,2016,5
2016-06-01,30.692963,2016,6
2016-07-01,30.263977,2016,7
2016-08-01,29.243378,2016,8
2016-09-01,28.702972,2016,9
2016-10-01,27.19931,2016,10
2016-11-01,22.564117,2016,11
2016-12-01,20.149567,2016,12
2017-01-01,19.128204,2017,1
2017-02-01,19.390045,2017,2
2017-03-01,21.62967,2017,3
2017-04-01,24.916504,2017,4
2017-05-01,27.520233,2017,5
2017-06-01,29.841217,2017,6
2017-07-01,28.80307,2017,7
2017-08-01,29.165222,2017,8
2017-09-01,28.85373,2017,9
2017-10-01,25.251556,2017,10
2017-11-01,22.157837,2017,11
2017-12-01,17.491669,2017,12
2018-01-01,17.927246,2018,1
2018-02-01,17.416962,2018,2
2018-03-01,22.643768,2018,3
2018-04-01,24.335846,2018,4
2018-05-01,29.031586,2018,5
